name,lat,lon
Pontiac IL,40.8808666,-88.62978389999999
Mashpee MA,41.647872,-70.4819674
St Michaels MD,38.785393,-76.22332020000002
Upper Marlboro MD,38.8159473,-76.74969089999999
Ocean Park ME,43.5013405,-70.3853343
East Gull Lake MN,46.4080226,-94.3558353
Hastings MN,44.7443293,-92.8513706
Columbia MO,38.9517053,-92.3340724
Bozeman MT,45.6769979,-111.0429339
Efland NC,36.0811881,-79.1690315
Rindge NH,42.7511964,-72.0098021
Warren NJ,40.6342489,-74.50047959999999
Reno NV,39.5296329,-119.8138027
Glen Spey NY,41.4787025,-74.8134977
New Paltz NY,41.7475933,-74.0868095
Pomona NY,41.1912507,-74.05644989999999
Toledo OH,41.6528052,-83.5378674
Brooks OR,45.048175,-122.9584291
Sherwood OR,45.3569341,-122.8410659
St Paul OR,45.21122949999999,-122.9767662
Chambersburg PA,39.9375911,-77.6611022
South Sterling PA,41.2642542,-75.3479603
Dallas TX,32.7766642,-96.7969879
Wakefield VA,36.9682064,-76.989683
Williamsburg VA,37.2707022,-76.7074571
"Steilacoom, WA",47.1698197,-122.6026274
Tenino WA,46.8567662,-122.8529093
Burlington WI,42.6780726,-88.27620259999999
East Troy WI,42.7852922,-88.40509600000001
Green Bay WI,44.5133188,-88.0132958
Janesville WI,42.6827885,-89.0187222
Salem WI,42.5542369,-88.1104802
Alabaster AL,33.2442813,-86.8163773
Riverside CA,33.9806005,-117.3754942
Woodland Hills CA,34.165357,-118.6089752
Edwards CO,39.644986,-106.5942
Fairbury IL,40.7472566,-88.5147789
Ashby MA,42.6772767,-71.81871389999999
Spencer MA,42.2439682,-71.9922867
Woodstock MD,39.328064,-76.872796
Oak Ridge NC,36.1734694,-79.98892769999999
Yanceyville NC,36.4040273,-79.3361314
Flemington NJ,40.5123258,-74.85933179999999
Walbridge OH,41.5878281,-83.4932651
Easton PA,40.688432,-75.2207323
Halifax PA,40.4681409,-76.9319198
Harrisburg PA,40.2731911,-76.8867008
Johnson City TX,30.2767408,-98.4119811
Elkhorn WI,42.6727927,-88.5445447
Hudson WI,44.9746896,-92.7568703
Citrus Heights CA,38.7071247,-121.2810611
Guerneville CA,38.5018575,-122.9961102
Hayward CA,37.6687665,-122.0809964
Los Angeles CA,34.0522342,-118.2436849
Paso Robles CA,35.6368759,-120.6545022
Sacramento CA,38.5815719,-121.4943996
Sierra Madre CA,34.1616729,-118.0528456
Denver CO,39.7392358,-104.990251
Tequesta FL,26.9636401,-80.1121493
Alpharetta GA,34.0753762,-84.2940899
Blue Grass IA,41.5089194,-90.7659767
McHenry IL,42.333355,-88.2667534
Walpole MA,42.1470851,-71.2517835
Centreville MD,39.0417785,-76.06633339999999
Knoxville MD,39.3278289,-77.6645614
Wilson NC,35.7212689,-77.9155395
Nashua NH,42.7653662,-71.46756599999999
Columbia NJ,40.9256446,-75.0931123
Mt. Laurel NJ,39.934002,-74.89099879999999
Skiatook OK,36.3684245,-96.0013847
Burien WA,47.4668384,-122.3405305
Appleton WI,44.2619309,-88.41538469999999
Tucson AZ,32.2226066,-110.9747108
Simi Valley CA,34.2694474,-118.781482
Golden CO,39.755543,-105.2210997
Grand Junction CO,39.0638705,-108.5506486
Lockport IL,41.5894752,-88.05783699999999
Sandwich IL,41.6458634,-88.6217432
Marshall MI,42.2722641,-84.96331479999999
Asheboro NC,35.7079146,-79.8136446
Henderson NV,36.0395247,-114.9817213
Ellicottville NY,42.2750639,-78.67280710000001
Tecumseh OK,35.2578498,-96.9366888
Gervais OR,45.1081752,-122.8975952
Grass Valley CA,39.2190608,-121.0610606
San Pedro CA,33.7360619,-118.2922461
Wrightwood CA,34.3608341,-117.6333884
Jacksonville FL,30.3321838,-81.65565099999999
Bowie MD,39.0067768,-76.77913649999999
Bloomington MN,44.840798,-93.2982799
Lumberton NC,34.6182199,-79.0086424
Turner OR,44.8431766,-122.9528708
Carlisle PA,40.2010241,-77.20027449999999
Stroudsburg PA,40.9867609,-75.1946248
Stevenson WA,45.6956723,-121.8845241
Huntington Beach CA,33.6594835,-117.9988026
Somis CA,34.2637508,-118.9946323
Turlock CA,37.4945743,-120.8459786
